Institute_Name,Tier
"Cotton Colllege State University, Guwahati",Tier 3
CT University,Tier 3
C. U. Shah University,Tier 3
Damodaram Sanjivayya National Law University,Tier 3
DAV University,Tier 3
Dayananda Sagar University,Tier 3
Delhi Pharmaceutical Sciences and Research University (DIPSAR),Tier 3
Delhi Technological University (DTU),Tier 3
Desh Bhagat University (DBU),Tier 3
Diamond Harbour Women's University,Tier 3
DIT University,Tier 3
Dr. A.P.J. Abdul Kalam University,Tier 3
Dravidian University,Tier 3
Dr. Babasaheb Ambedkar Open University,Tier 3
"Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth, Dapoli",Tier 3
Dr. Bhimrao Ambedkar Law University (ALU Jaipur),Tier 3
Dr. B.R. Ambedkar Open University,Tier 3
Dr. B. R. Ambedkar University of Social Sciences (BRAUSS),Tier 3
"Dr. B. R. Ambedkar University, Srikakulam",Tier 3
Dr. K.N. Modi University (DKNMU),Tier 3
Dr. Panjabrao Deshmukh Krishi Vidyapeeth (PDKV or PKV),Tier 3
Dr. Ram Manohar Lohia Avadh University,Tier 3
Dr. Ram Manohar Lohiya National Law University (RMLNLU),Tier 3
Dr. Vishwanath Karad MIT World Peace University,Tier 3
Dr. Y.S.R. Horticultural University,Tier 3
"D.Y. Patil Education Society, Kolhapur",Tier 3
"Durg Vishwavidyalaya, Durg",Tier 3
Era University,Tier 3
Eternal University,Tier 3
FLAME University,Tier 3
Galgotias University,Tier 3
Gangadhar Meher University,Tier 3
Ganpat University (GUNI),Tier 3
Garden City University,Tier 3
Gautam Buddha Technical University,Tier 3
Gautam Buddha University (GBU),Tier 3
GD Goenka University (GDGU),Tier 3
Geetanjali University (GU),Tier 3
G.H. Raisoni University,Tier 3
GLS University,Tier 3
GNA University (GU),Tier 3
Gondwana University,Tier 3
"Govind Ballabh Pant University of Agriculture and Technology, Pantnagar",Tier 3
Govind Guru Tribal University,Tier 3
Graphic Era Parvatiya Vishwavidyalaya,Tier 3
GSFC University,Tier 3
Gujarat Technological University (GTU),Tier 3
Gujarat Agricultural University,Tier 3
Gujarat University of Transplantation Sciences (GUTS),Tier 3
Guru Kashi University (GKU),Tier 3
Guru Ravidas Ayurved University,Tier 3
Gurugram University,Tier 3
Harcourt Butler Technical University (HBTU),Tier 3
Haridev Joshi University of Journalism and Mass Communication (HJU),Tier 3
Haryana Vishwakarma Skill University,Tier 3
"Hemwati Nandan Bahuguna Uttarakhand Medical Education University, Dehradun ((HNBUMU)",Tier 3
Hidayatullah National Law University (HNLU),Tier 3
Himachal Pradesh National Law University (HPNLU Shimla),Tier 3
Himachal Pradesh Technical University,Tier 3
Himalayan Garhwal University (HGU),Tier 3
Himalayan University,Tier 3
Himgiri Nabh Vishwavidyalaya,Tier 3
Homoeopathy University,Tier 3
"ICFAI University, Jaipur",Tier 3
"ICFAI University, Kumhari",Tier 3
IIHMR University (Indian Institute of Health management Research IIHMR),Tier 3
"IIMT University (IIMTU), Meerut",Tier 3
IMS Unison University (IUU),Tier 3
India Education Centre University,Tier 3
Indian Institute of Public Health - Gandhinagar,Tier 3
Indian Institute of Space Science and Technology (IIST),Tier 3
Indian Institute of Teacher Education (IITE),Tier 3
Indira Gandhi Delhi Technical University for Women (IGDTUW),Tier 3
Indira Gandhi Institute of Medical Sciences,Tier 3
"Indira Gandhi Krishi Vishwavidyalaya, Raipur ((IGKV)",Tier 3
Indira Gandhi Technological and Medical Science University (IGTAMSU),Tier 3
Indira Gandhi University,Tier 3
Indrashil University,Tier 3
Indus International University (IIU),Tier 3
Indus University,Tier 3
"Institute of Advanced Research (IAR), Gandhinagar",Tier 3
Institute of Advanced Studies in Education (IASE) Deemed University,Tier 3
"Institute of Chartered Financial Analysts of India (ICFAI) University, Dehradun",Tier 3
"Institute of Chartered Financial Analysts of India (ICFAI) University, Dimapur",Tier 3
"Institute of Chartered Financial Analysts of India (ICFAI) University, Gangtok, Sikkim",Tier 3
Institute of Trans-Disciplinary Health Sciences and Technology,Tier 3
Institute of Infrastructure Technology Research and Management (IITRAM),Tier 3
"International Institute of Information Technology, Bhubaneswar",Tier 3
"International Institute of Information Technology, Naya Raipur",Tier 3
Invertis University,Tier 3
ISBM University,Tier 3
"ITM University, Gwalior",Tier 3
"ITM University, Raipur",Tier 3
ITM Vocational University,Tier 3
Jagadguru Ramanandacharya Rajasthan Sanskrit University,Tier 3
Jagadguru Rambhadracharya Handicapped University (JRHU),Tier 3
"Jagadguru Sri Shivarathreeshwara University, Mysore",Tier 3
Jagran Lakecity University (JLU),Tier 3
"Jai Prakash Vishwavidyalaya, Chapra (JPU)",Tier 3
Jananayak Chandrashekhar University (JNCU),Tier 3
Jawaharlal Nehru Architecture and Fine Arts University (JNAFAU),Tier 3
Jawaharlal Nehru Krishi Vishwavidyalaya (JNKVV),Tier 3
Jayoti Vidyapeeth Women's University,Tier 3
Jaypee University Anoopshahar,Tier 3
JECRC University,Tier 3
Jharkhand Rai University (JRU),Tier 3
Jharkhand Raksha Shakti University (JRSU),Tier 3
JIS University,Tier 3
JK Lakshmipat University (JKLU),Tier 3
Jodhpur National University (JNU),Tier 3
JSS Science & Technology University,Tier 3
J.S University,Tier 3
Kadi Sarva Vishwavidyalaya,Tier 3
Kalinga Institute of Social Sciences (KISS),Tier 3
Kalinga University,Tier 3
Kaloji Narayan Rao University of Health Sciences (KNRUHS),Tier 3
Kamdhenu University,Tier 3
Karnataka Folklore University,Tier 3
Karnataka Janapada Vishwavidalaya,Tier 3
Karnataka Sanskrit University,Tier 3
Karnataka State Open University (from 2018) (KSOU),Tier 3
Karnataka State Rural Development and Panchayat Raj University (KSRDPRU),Tier 3
"Karnataka Veterinary, Animal and Fisheries Sciences University (KVAFSU)",Tier 3
Karnavati University (KU),Tier 3
Karunya Institute of Technology and Sciences,Tier 3
Kazi Nazrul University (KNU),Tier 3
Kerala Kalamandalam (Deemed University for Art and Culture),Tier 3
Kerala University of Fisheries and Ocean Studies (KUFOS),Tier 3
Kerala University of Health Sciences,Tier 3
Kerala Veterinary and Animal Sciences University,Tier 3
Khallikote University (KUB),Tier 3
"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",Tier 3
K.K. University (KKU),Tier 3
KLE Technological University,Tier 3
Kolhan University,Tier 3
Koneru Lakshmaiah Education Foundation,Tier 3
Krantiguru Shyamji Krishna Verma Kachchh University,Tier 3
Krishna Kanta Handiqui State Open University (KKHSOU),Tier 3
Krishna University (KrU),Tier 3
K.R. Mangalam University KRMU,Tier 3
"KSGH Music and Performing Arts University, Mysore",Tier 3
Kumar Bhaskar Varma Sanskrit and Ancient Studies University (KBVSASU),Tier 3
Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,Tier 3
Lakulish Yoga University,Tier 3
Lala Lajpat Rai University of Veterinary and Animal Sciences (LUVAS),Tier 3
LNCT University (LNCTU),Tier 3
Lovely Professional University (LPU),Tier 3
"Madan Mohan Malaviya University of Technology (MMMUT, Gorakhpur)",Tier 3
Madhav University,Tier 3
Madhya Pradesh Bhoj Open University,Tier 3
"Madhya Pradesh Medical Science University, Jabalpur (M.P. Ayurvigyan Vishwavidyalaya)",Tier 3
"Magadh University, Bodh Gaya",Tier 3
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Tier 3
Maharaja Agrasen University,Tier 3
Maharaja Bir Bikram University (MBB University),Tier 3
"Maharaja Chhatrasal Bundelkhand Vishwavidyalaya, Chhatarpur (MCBU)",Tier 3
Maharaja Ganga Singh University,Tier 3
"Maharaja Surajmal Brij University, Bharatpur",Tier 3
"Maharaja Vinayak Global University, Jaipur",Tier 3
Maharana Pratap Horticultural University (MHU),Tier 3
"Maharashtra National Law University, Aurangabad",Tier 3
"Maharashtra National law University, Mumbai",Tier 3
"Maharashtra National Law University, Nagpur",Tier 3
Maharishi Arvind University,Tier 3
Maharishi Mahesh Yogi Vedic Vishwavidyalaya (MMYVV),Tier 3
"Maharishi Markandeshwar University, Kumarhatti",Tier 3
Maharishi Panini Sanskrit Evam Vedic Vishwavidyalaya (MPSVV),Tier 3
Maharishi University of Information Technology (MUIT),Tier 3
"Maharishi University of Management and Technology (MUMT), Mangla, Bilaspur (C.G)",Tier 3
Mahatma Gandhi University of Medical Sciences and Technology,Tier 3
"Mahatma Gandhi University, West Garo Hills",Tier 3
Mahatma Jyoti Rao Phoole University,Tier 3
"Mahatma Phule Krishi Vidyapeeth, Rahuri",Tier 3
"Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidayala, Bhopal",Tier 3
Malwanchal University,Tier 3
Manav Rachna International University,Tier 3
Mandsaur University,Tier 3
Mangalayatan University,Tier 3
"Manipal University, Jaipur",Tier 3
Manipur Technical University (MTU),Tier 3
Manipur University of Culture,Tier 3
Marathwada Krishi Vidyapeeth,Tier 3
Martin Luther Christian University,Tier 3
Marwadi University (MU),Tier 3
MATS University (Mahaveer Academy of Technology and Science University),Tier 3
"Maulana Azad University, Jodhpur",Tier 3
Maulana Mazharul Haque Arabic and Persian University (MMHAPU),Tier 3
"Medi-Caps University, Indore",Tier 3
Meenakshi Academy of Higher Education and Research (MAHER),Tier 3
Mewar University,Tier 3
"MIT Art, Design and Technology University (MIT-ADT)",Tier 3
Mody University of Science and Technology,Tier 3
Mohammad Ali Jauhar University,Tier 3
Monad University,Tier 3
"Motherhood University, Roorkee (MHU)",Tier 3
M.S. Ramaiah University of Applied Sciences (MSRUAS),Tier 3
MVN University,Tier 3
"Nalanda Open University, Patna (NOU)",Tier 3
Nalanda University,Tier 3
Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya (Nanaji Deshmukh Veterinary Science University)Tier 3,
Narendra Deva University of Agriculture & Technology,Tier 3
National Institute of Food Technology Entrepreneurship and Management,Tier 3
"National Law University and Judicial Academy, Assam (NLUJAA)",Tier 3
National School of Drama,Tier 3
National University of Advanced Legal Studies (NUALS),Tier 3
National University of Educational Planning and Administration,Tier 3
"National University of Study and Research in Law, Ranchi (NUSRL)",Tier 3
Nava Nalanda Mahavihara (NNM),Tier 3
Navrachana University,Tier 3
"Nehru Gram Bharati Vishwavidalaya, Allahabad",Tier 3
Netaji Subhash Open University,Tier 3
NIILM University,Tier 3
NIIT University,Tier 3
Nilamber-Pitamber University (NPU),Tier 3
NIMS University,Tier 3
Noida International University,Tier 3
North Eastern Regional Institute of Science & Technology (NERIST),Tier 3
North East Frontier Technical University (NEFTU),Tier 3
North Orissa University,Tier 3
Odisha State Open University (OSOU),Tier 3
"OP Jindal University (OPJU), Punjipathra",Tier 3
OPJS University,Tier 3
Oriental University,Tier 3
Pacific Academic of Higher Education and Research University,Tier 3
Pacific Medical University,Tier 3
Palamuru University,Tier 3
"Pandit Bhagwat Dayal Sharma University of Health Sciences, Rohtak",Tier 3
"Pandit S. N. Shukla University, Shahdol, Madhya Pradesh",Tier 3
"Pandit Sundarlal Sharma (Open) University Chhattisgarh, Bilaspur (PSSOU)",Tier 3
Parul University,Tier 3
PDM University,Tier 3
People's University,Tier 3
PES University,Tier 3
P.K University,Tier 3
Plastindia International University,Tier 3
Poornima University,Tier 3
Potti Sreeramulu Telugu University (PSTU),Tier 3
P.P. Savani University (PPSU),Tier 3
Pragyan International University,Tier 3
Pratap University,Tier 3
"Presidency University, Karnataka, Bangalore",Tier 3
Professor Jayashankar Telangana State Agricultural University,Tier 3
Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of Chhattisgarh,Tier 3
Quantum University,Tier 3
RafflesUniversity,Tier 3
Raiganj University,Tier 3
Rai Technology University,Tier 3
Rai University (RU),Tier 3
Raja Mansingh Tomar Music and Arts University,Tier 3
Rajasthan Ayurveds University,Tier 3
Rajasthan ILD Skills University (RISU),Tier 3
Rajasthan Technical University (RTU),Tier 3
"Rajasthan University of Health Sciences, Jaipur",Tier 3
"Rajasthan University of Veterinary and Animal Sciences, Bikaner (RAJUVAS)",Tier 3
Rajendra Agricultural University,Tier 3
Rajiv Gandhi National Institute of Youth Development (RGNIYD),Tier 3
Rajiv Gandhi University of Knowledge Technologies (RGUKT),Tier 3
Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya (RVSKVV),Tier 3
"Raj Rishi Bhartrihari Matsya University, Alwar (RRBMU)",Tier 3
Raksha Shakti University,Tier 3
"Rama Devi Women's University, Bhubaneswar",Tier 3
Ramakrishna Mission Vivekananda Educational and Research Institute,Tier 3
Rama University,Tier 3
Rani Channamma University,Tier 3
Ras Bihari Bose Subharti University,Tier 3
Rayalaseema University,Tier 3
Rayat-Bahra University (RBU),Tier 3
REVA University,Tier 3
RIMT University,Tier 3
RKDF University,Tier 3
RK University (RKU),Tier 3
RNB Global University (RNBGU),Tier 3
Sage University,Tier 3
Sai Nath University,Tier 3
Sai Tirupati University,Tier 3
Sanchi University of Buddhist-Indic Studies (SUBIS),Tier 3
"Sandip University, Madhubani",Tier 3
"Sandip University, Nashik",Tier 3
Sangai International University (SIU),Tier 3
Sangam University,Tier 3
Sanjay Ghodawat University (SGU),Tier 3
Sankalchand Patel University (SPU),Tier 3
Sanskriti University,Tier 3
Sant Baba Bhag Singh University (SBBS University),Tier 3
"Sardar Patel University of Police, Security and Criminal Justice",Tier 3
"Sardar Vallabhbhai Patel University of Agriculture & Technology (SVPUAT), Meerut",Tier 3
Sarguja University,Tier 3
Sarla Birla University (SBU),Tier 3
"Sarvepalli Radhakrishnan University, Bhopal (SRK University)",Tier 3
Satavahana University,Tier 3
Seacom Skills University (SSU),Tier 3
Shekhawati University,Tier 3
Sharnbasva University,Tier 3
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu (SKUAST-J),Tier 3
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Tier 3
Sher-i-Kashmir Institute of Medical Sciences (SKIMS),Tier 3
"Shobhit Institute of Engineering & Technology, Meerut",Tier 3
"Shobhit University, Gangoh",Tier 3
Shree Guru Gobind Singh Tricentenary University (SGT University),Tier 3
Shree Somnath Sanskrit University (SSSU),Tier 3
Shridhar University,Tier 3
Shri Govind Guru University,Tier 3
Shri Guru Ram Rai University,Tier 3
Shri Jagdishprasad Jhabarmal Tibrewala University,Tier 3
Shri Mata Vaishno Devi University (SMVDU),Tier 3
Shri Ramasamy Memorial University,Tier 3
Shri Ramswaroop Memorial University (SRMU),Tier 3
Shri Vaishnav Vidyapeeth Vishwavidyalaya (SVVV),Tier 3
"Shri Venkateshwara University (SVU), JP Nagar",Tier 3
"Shri Venkateshwara University (SVU), Tirupati",Tier 3
"Siddharth University Kapilvastu, Siddharth Nagar – (UP)",Tier 3
Sidho Kanho Birsha University,Tier 3
Sido Kanhu Murmu University (SKMU),Tier 3
Singhania University,Tier 3
Sir Padampat Singhania University (SPSU),Tier 3
Sister Nivedita University SNU,Tier 3
South Asian University (SAU),Tier 3
Spicer Adventist University,Tier 3
Sri Dev Suman Uttarakhand University (SDSUV),Tier 3
Sri Guru Granth Sahib World University (SGGSWU),Tier 3
"Sri Guru Ram Das University of Health Sciences, Sri Amritsar",Tier 3
Sri Konda Laxman Telangana State Horticultural University (SKLTSHU),Tier 3
Srimanta Sankaradeva University of Health Sciences,Tier 3
Srinivas University,Tier 3
Sri P.V. Narsimha Rao Telangana Veterinary University (PVNRTVU),Tier 3
Sri Sai University (SSU),Tier 3
Sri Satya Sai University of Technology and Medical Sciences,Tier 3
Sri Sri University,Tier 3
Sri Venkateswara Vedic University,Tier 3
Sri Venkateswara Veterinary University (SVVU),Tier 3
"SRM University, Mangalagiri Mandal",Tier 3
"SRM University, Sonepat",Tier 3
Starex University,Tier 3
State University of Performing and Visual Arts,Tier 3
St. Joseph University,Tier 3
St. Xavier's University,Tier 3
SunRise University,Tier 3
Swami Rama Himalayan University (SRHU),Tier 3
Swami Rama Vidyapeeth,Tier 3
Swami Vivekanand University,Tier 3
Swarnim Gujarat Sports University (SGSU),Tier 3
Swarnim Startup & Innovation University (SSIU),Tier 3
Symbiosis University of Open University (SUAS),Tier 3
Symbiosis University of Applied Science (SUAS),Tier 3
Tamil Nadu Dr. Ambedkar Law University (TNDALU),Tier 3
"Tamil Nadu Fisheries University, Nagapattinam",Tier 3
Tamil Nadu Music and Fine Arts University,Tier 3
Tamil Nadu National Law School,Tier 3
Tamil Nadu Open University (TNOU),Tier 3
Tamil Nadu Teachers Education University (TNTEU),Tier 3
Tantia University (TU),Tier 3
TeamLease Skills University (TSLU),Tier 3
Techno Global University (TGU),Tier 3
Techno India University (TIU),Tier 3
The Assam Kazaringa University,Tier 3
The Assam Royal Global University,Tier 3
"The Global Open University, Nagaland",Tier 3
"The Global University, Saharanpur",Tier 3
"The Global University (TGU), Itanagar",Tier 3
"The Indira Gandhi Technological and Medical Sciences University, Ziro",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Tripura",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Mizoram",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Himachal Pradesh",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Dehradun",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Jharkhand",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Nagaland",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Sikkim",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University,Meghalaya",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Agartala",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Aizawal",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Baddi",Tier 3
"The Institute of Chartered Financial Analysts of India (ICFAI) University, Ranchi",Tier 3
"The Institute of Chartered Financial Analysts of India University, West Garo Hills",Tier 3
The Neotia University (TNU),Tier 3
The Sanskrit College and University,Tier 3
The West Bengal University of Health Sciences,Tier 3
"The West Bengal University of Teachers' Training, Education Planning and Administration (WBUTTEPA)Tier 3",
Thiruvalluvar University,Tier 3
Thunchath Ezhuthachan Malayalam University,Tier 3
Tilka Manjhi Bhagalpur University (TMBU),Tier 3
UEM Kolkata (University of Engineering and Management),Tier 3
UKA Tarsadia University,Tier 3
"University of Agricultural Sciences UAS), Dharwad",Tier 3
"University of Agricultural Sciences (UAS), Raichur",Tier 3
"University of Engineering and Management, Jaipur",Tier 3
"University of Engineering and Management, Kolkota",Tier 3
"University of Horticultural Sciences, Bagalkot",Tier 3
University of Patanjali (UOP),Tier 3
"University of Science and Technology, Meghalaya (USTM)",Tier 3
University of Technology,Tier 3
University of Technology and Management,Tier 3
U.P. Rajarshi Tandon Open University (UPRTOU),Tier 3
Usha Martin University,Tier 3
Utkal University of Culture,Tier 3
Uttarakhand Aawasiya Vishwavidyalaya,Tier 3
Uttarakhand Ayurveda University,Tier 3
Uttarakhand Open University,Tier 3
"Uttarakhand Sanskrit University, Haridwar",Tier 3
Uttarakhand Technical University,Tier 3
Uttaranchal University,Tier 3
Uttar Banga Krishi Vishwavidyalaya,Tier 3
Uttar Pradesh Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evem Go Anusandhan SanthanTier 3,
Uttar Pradesh University of Medical Sciences,Tier 3
Uttar Pradesh Viklang Uddhar Dr. Shakuntala Misra University,Tier 3
"Vardhaman Mahaveer Open University, Kota",Tier 3
Veer Chandra Singh Garhwali Uttarakhand University of Horticulture,Tier 3
Vasantrao Naik Marathwada Krishi Vidyapeeth (VNMKV),Tier 3
"Veer Kunwar Singh University, Arrah (VKSU)",Tier 3
Veer Surendra Sai Institute of Medical Sciences and Research (VIMSAR),Tier 3
Venkateshwara Open University (VOU),Tier 3
"Vijayanagara Sri Krishnadevaraya University, Ballari (VSKU)",Tier 3
Vikrama Simhapuri University (VSU),Tier 3
Vinayaka Missions Sikkim University (VMSU),Tier 3
Vinayaka Missions University,Tier 3
Vishwarkarma University,Tier 3
VIT Bhopal University,Tier 3
Vivekananda Global University,Tier 3
West Bengal State University (WBSU),Tier 3
West Bengal University of Health Sciences (WBUHS),Tier 3
William Carey University (WCU),Tier 3
World University of Design (WUD),Tier 3
Xavier University (Xavier University Bhubaneswar),Tier 3
Yashwantrao Chavan Maharashtra Open University (YCMOU),Tier 3
YBN University,Tier 3
